Date,Username,User tag,Content,Mentions,link
"2025-01-14,16:36:55",cwognum,#0,"I'm pretty sure you've accidentally installed an old (like old-old) version of Polaris. Old enough where we were still using our dev environment. Could you try install version `0.11.0` explicitly? 

For example: 
```
pip install polaris=0.11.0
```

If the issue persists, it would be very helpful if you could create a Github issue.",,
"2025-01-14,16:39:23",cwognum,#0,"ℹ️  As a general announcement:

If you're facing any technical issue, it's best to file a bug report at https://github.com/polaris-hub/polaris/issues/new?assignees=&labels=bug&projects=&template=bug-report.yml. This will prompt you to fill out some additional information that helps the team investigate the issue. 

Thanks!",,
"2025-01-14,16:39:36",cwognum,#0,,,
"2025-01-14,16:40:52",muismail90,#0,Thanks. I now know where the problem is. I will try some mamba/pip installs and will get there soon. Thanks again.,cwognum#0,
"2025-01-15,06:44:53",ishgirwan,#0,"In the ligand pose challenge, when getting the train test split using `train, test = competition.get_train_test_split()`, is there a way to get the extra data as part of this train and test set?",,
"2025-01-15,07:27:02",cwognum,#0,"Yes, you can set the `input_cols` field for the `train` object. For example:

```py
train.input_cols.append(“Protein Structure”)
```",ishgirwan#0,
"2025-01-15,09:15:39",ishgirwan,#0,"Thanks Cas, that worked. Is there any reason why the test set doesn't include Protein structure and Complex structure, as we would need them during inference if we use them during training ?",cwognum#0,
"2025-01-15,10:15:20",cwognum,#0,"That’s a good question! 

For the Complex Structure, the answer is simply that this structure includes the ligand and thus the solution to the task we’re asking you to solve! 😄

For the Protein Structure, the answer is a little more nuanced. The structure of the protein changes based on the ligand that is bound to it. If we were to provide you with the structure of the protein in its bound pose for a given ligand, that would give you additional information about the ligand pose that we’re asking you to predict. This is information you typically don’t have in a real world setting. We’ve therefore formulated the posing challenge as a “blind docking” task, where the ask is to predict the pose based on just the sequence data of the protein and the molecular graph (i.e. the CXSMILES). This is more representative of real-world applications. 

<@1328384613554585613> <@377331431246004225> Please jump in here if you have anything to add!",itstreasonthen.#0、ishgirwan#0、jenkescheen.#0,
"2025-01-15,10:47:14",ishgirwan,#0,Thanks a lot for clarifying that 🙂,cwognum#0,
"2025-01-15,12:35:09",jenkescheen.,#0,that's correct! If you would like inspiration for the protein (e.g. if you're not planning to use some sort of folding method) I would recommend looking at the training data proteins (in the case of SARS-CoV-2 Mpro) or at the reference protein to align to (in the case of MERS-CoV Mpro). Pro tip: the PDB database (https://www.rcsb.org/) also contains an additional wealth of knowledge..,cwognum#0,
"2025-01-15,15:31:55",jonnyhsu,#0,"Just wanted to give a warm welcome to all of the new folks who've joined the channel/Discord recently! If you haven't yet, please head on over to <#1202076404578000946> to quickly introduce yourself. We'd love to learn more about you 🙂",,
"2025-01-16,03:27:09",bartl88,#0,"Hello, Bart here- for the ADME challenge the links to the experimental protocols are broken?",,
"2025-01-16,03:29:03",bartl88,#0,,,https://cdn.discordapp.com/attachments/1311539940797972581/1329366797593477230/image.png?ex=6809f64e&is=6808a4ce&hm=87ca813cd11c37285a1b5a92af1788be09208872c064fb5fdab0c5f8d98c38c0&
"2025-01-16,09:48:18",cwognum,#0,"Good catch, thanks! We've update the links in the README. 

For your convenience: 
- Mouse Liver Microsomal stability (MLM): https://dx.doi.org/10.17504/protocols.io.5qpvokdb9l4o/v1
- Human Liver Microsomal stability (HLM): https://dx.doi.org/10.17504/protocols.io.5qpvokdb9l4o/v1
- Solubility (KSOL): https://dx.doi.org/10.17504/protocols.io.j8nlk8y41l5r/v1
- LogD: https://dx.doi.org/10.17504/protocols.io.e6nvw14kdlmk/v1
- Cell permeation (MDR1-MDCKII): https://dx.doi.org/10.17504/protocols.io.n2bvjne6ngk5/v1",bartl88#0,
"2025-01-19,14:46:26",kunle007,#0,"Hi. I tried loading the dataset using:

```python
competition = po.load_competition(""asap-discovery/antiviral-potency-2025"")
```
and I got the following error:

```python
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/opt/anaconda3/envs/polaris/lib/python3.11/site-packages/polaris/loader/load.py"", line 115, in load_competition
    return client.get_competition(artifact_id)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  ****cut out some part ****
  File ""/opt/anaconda3/envs/polaris/lib/python3.11/site-packages/zarr/storage.py"", line 3046, in __init__
    meta = json_loads(self.store[metadata_key])
                      ~~~~~~~~~~^^^^^^^^^^^^^^
  File ""/opt/anaconda3/envs/polaris/lib/python3.11/site-packages/polaris/hub/storage.py"", line 351, in __getitem__
    with handle_s3_errors():
  File ""/opt/anaconda3/envs/polaris/lib/python3.11/contextlib.py"", line 158, in __exit__
    self.gen.throw(typ, value, traceback)
  File ""/opt/anaconda3/envs/polaris/lib/python3.11/site-packages/polaris/hub/storage.py"", line 52, in handle_s3_errors
    raise S3StoreException(f""Error in S3Store: {e}"") from e
polaris.hub.storage.S3StoreException: Error in S3Store: An error occurred (NotImplemented) when calling the GetObject operation: Header 'x-amz-checksum-mode' with value 'ENABLED' not implemented
```",,
"2025-01-19,15:00:18",cwognum,#0,"Hey <@580795206459457556> , thanks for reaching out. This was an issue in an upstream library we use. The solution is to downgrade boto3 to <1.36.0.

See also: https://github.com/polaris-hub/polaris/pull/247

I now realize we didn’t adjust the dependencies in the Conda release, but installing Polaris version 0.11.2 from source or through PyPi should fix the issue since we’ve pinned the version of Boto3.",kunle007#0,
"2025-01-19,15:21:46",muismail90,#0,"Hi, Kunle. I have a conda env with Python 3.10 and installed polaris using `mamba install -c conda-forge polaris`, then downgraded boto3 using `conda install boto3=1.53` and it worked.",kunle007#0,
"2025-01-19,19:04:16",luispintoc,#0,"Hi, on the antiviral potency challenge, I see there are 5 data points in both train and test set, will they be removed from the test set in the future?

{'CC(C)[C@H]1C2=C(CCN1C(=O)CC1=CN=CC3=CC=CC=C13)SC=C2 |o1:3|',
 'CCC1=CC=C([C@H]2C[C@H](C)CCN2C(=O)CC2=CN=CC3=CC=CC=C23)O1 |o1:6,8|',
 'CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2CC2CC2)C2=CC(Cl)=CC=C2C1=O |o1:7,22|',
 'CO[C@@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:7|',
 'C[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]1C |o1:1,19|'}",,
"2025-01-20,00:56:28",srdjanma_41135,#0,"Hey thats a good point that I am also curious about. Also did you see that in the training set quite a few values ""pIC50_SARS_CoV_2: 189 missing values. pIC50_MERS_CoV: 130 missing values."" have missing potency values? How do you handle that, just simply excluding them? Maybe adding them to the test set? Do you see any duplicates in SMILES within the training dataset?",luispintoc#0,
"2025-01-20,08:39:58",jenkescheen.,#0,"yes, these will be removed. They may still be useful for benchmarking your own model(s) though!",luispintoc#0,
"2025-01-20,08:41:22",jenkescheen.,#0,This is because not all compounds were assayed for both targets for a variety of practical reasons (e.g. when one target's potency turned out too low to warrant actioning an assay for the other target).,srdjanma_41135#0,
"2025-01-20,08:54:16",cwognum,#0,"To add to this:

Thanks for reporting, <@821170864568533033> ! You clearly did a careful data analysis and I’m excited to see your submission! 😄

if these are true duplicates that slipped through , we’ll indeed ignore them at test time.

~~However, can you confirm that the molecule is not paired with a different target? In other words: one molecule could be bound with both MERS CoV as well as SARS CoV 2. This would be expected and not an actual duplicate~~
I read wrong, apologies. I thought you were talking about the ligand poses challenge, rather than the potency challenge.

I will look into this myself as well this afternoon to confirm.",luispintoc#0、jenkescheen.#0,
"2025-01-20,09:00:23",cwognum,#0,"And to add to this:

This is a setting that you’ll run into a lot during real world drug discovery programs, for a variety of reasons like <@1328384613554585613> mentioned.

From a ML perspective, you’re working with a _sparse multitask matrix_. You could simply build single-task models for each individual endpoint, filtering out the NaNs, and then combine their predictions, but it would be interesting to see if you can benefit from the shared information between tasks to improve generalizability with some sort of multitask model! For example, you could use a model with a shared trunk and endpoint specific prediction heads.",jenkescheen.#0,
"2025-01-21,10:33:10",cwognum,#0,"Hey <@821170864568533033>, thanks again for reporting! We've looked into it. It's turns out to be quite an illustrative example!

Turns out: These aren't actually duplicates. They are enantiomers. In other words: These molecules share the same molecular formula and connectivity (i.e., the same number and type of atoms bound in the same sequence) and hence the same SMILES, but differ in the spatial arrangement of their atoms. If you're not familiar with stereochemistry, you can learn more about it here: https://polaris-hub.github.io/auroris/stable/tutorials/stereoisomerism_QSAR.html. 

Stereochemistry matters a lot in binding and such enantiomers actually have different readouts in the assay. It would've been cool to provide the 3D arrangement associated with these enantiomers to allow for some more advanced modelling techniques, but we unfortunately have not been able to identify them. In other words, we know that these are enantiomers, but we don't precisely know which has which spatial arrangement.

It's a lesson in the limitations of the 2D graph representation (e.g. SMILES) we like to use in ML for our molecules and it is a reminder of the difficulty of data curation! 😅 

Finally, on how we handle these cases during evaluation. We'll simply skip them!

<@377331431246004225> <@1328384613554585613> Did I get that right? Feel free to chime in!",itstreasonthen.#0、jenkescheen.#0、luispintoc#0,
"2025-01-21,11:11:22",jenkescheen.,#0,"Thanks <@437941389838516235> ! Just to illustrate a bit more: as you'll have noticed we use an extended SMILES notation called CXSMILES. This format allows annotation of more stereochemical details beyond just the '@' in regular SMILES notation. For a good explanation of CXSMILES and enhanced stereochemistry notation, see Greg Landrum's excellent blogpost here: https://greglandrum.github.io/rdkit-blog/posts/2023-11-19-explaining-stereo-groups.html

To bring things back to this particular use-case: we're looking at five matched enantiomers that have 'OR' stereochemistry. That means that either entry can be either enantiomer (more simply put: we don't know which is which), but the synthesis team has not done the follow-up synthetic experiments to determine which exact enantiomer is which. This typically isn't done for compounds that aren't necessarily worth following up on, or when it's obvious which enantiomer is dominating in potency.",cwognum#0,
"2025-01-21,11:39:43",jonnyhsu,#0,"For those who might be interested, here's a short tutorial on how to get started with the challenge! 

https://www.linkedin.com/posts/polarishq_it-only-takes-a-few-lines-of-code-to-get-activity-7287489051194990593-XGSN?utm_source=share&utm_medium=member_desktop",,
"2025-01-21,16:10:33",cwognum,#0,,,
"2025-01-24,11:29:41",jenkescheen.,#0,"Hi all, ASAP will be hosting three virtual 'office hours' next week Thursday and Friday. These are intended for you to be able to ask technical questions about the underlying data for all of the subchallenges! We have invited experimentalists from ASAP to sit in on these office hours so that you can directly ask them about anything that could be useful for building your models 🚀 

This first round of office hours is as follows:
Thursday January 30th: 1AM PT / 4AM ET / 9AM GMT / 10AM CET / 8PM AUS
Thursday January 30th: 8:30AM PT / 11:30AM ET / 4:30PM GMT / 5:30PM CET / 3:30AM AUS
Friday January 31st: 8AM PT / 11AM ET / 4PM GMT / 5PM CET / 3AM AUS

If you'd like to attend, can you please fill in this google form so that we can invite you to the calendar slots? The slots will contain Zoom URLs for you to use at the time of the meeting.

Here's the link to the poll: https://forms.gle/2ke3JYKrrXrfaE9J6",,
"2025-01-25,18:00:51",luispintoc,#0,"Very clear, thanks!",cwognum#0,
"2025-01-28,13:32:35",valerij6915,#0,"I would have a question about the data for the potency challenge if it is fine.  For SARS and MERS there are there are NaN values in pIC50 for SARS but not for MERS in cases such as ""CNC(=O)CN1C[C@]2(C[C@H](C)N(C3=CN=CC=C3C3CC3)C2=O)C2=C(C=CC(Cl)=C2)C1=O"" where it has an NaN in the pIC50 for SARS due to the pIC50 being < 5.00/ < 4.00 in the csv file with a reasonable pIC50 value for MERS (in that case 4.73), so I wanted to ask if for the test set that we need to predict, are there cases where the true values for the pIC50 for SARS are < 4.00 and if so how should we specify them or does the test set has a ""=""  value above the 4.0 pIC50 threshold for all of the SMILES?",,
"2025-01-28,17:38:43",cwognum,#0,"Hey! Good question! For the test set, we've filtered out all molecules with a > or < modifier. Put differently, all test molecules have values within the instrumental detection limit.",valerij6915#0,
"2025-01-28,17:40:09",valerij6915,#0,"Hey <@437941389838516235>, perfect this answers my question, thank you for the answer 🙂",cwognum#0,
"2025-01-29,13:41:34",luispintoc,#0,"Hi one question regarding both potency and ADMET, are we allowed to use external datasets?",,
"2025-01-29,13:47:36",cwognum,#0,"Hi <@821170864568533033> , yes! As long as it's publicly available, you're free to use any external datasets (and we recommend it!). 

We're curious to see if anyone could've done better than we did, and we had access to other public data at the time as well.",luispintoc#0,
"2025-01-30,09:48:48",bartl88,#0,Is it correct that there is an interim leaderbord for which there is a submission deadline tomorrow? If so which time tomorrow?,,
"2025-01-31,07:09:31",bartl88,#0,Another question- for the submission do the predictions need to be backtransformed? e.g. or can we submit it transformed (log10_),,
"2025-01-31,07:56:14",cwognum,#0,"Indeed! However, we’ve had several teams reach out to us that this conflicts with the ICML deadline. ***We’ve therefore decided to extend the deadline by another week***. 

Official announcement will follow later today!",bartl88#0,
"2025-01-31,08:00:58",cwognum,#0,"Good question! The predictions should be in the same format as the targets of the train set. 

For Potency, this means to keep everything log transformed (i.e. pIC50), whereas for ADMET only LogD is in log units. Predictions for all other ADMET endpoints should have the same unit as the assay.",bartl88#0,
"2025-01-31,08:16:26",bartl88,#0,"Thanks, It would be good if these rules/guidelines are also documented on the website",,
"2025-02-02,09:33:11",wiwnopgm,#0,"Hello,

I'd like to pose a question regarding the ligand pose challenge. I'm curious how we could possibly load the training dataset in cif / mmcif format. Any recommended way to do so?",,
"2025-02-02,14:18:24",cwognum,#0,"Hi <@695190081698529353>, good question! 

The  `AtomArray` object that is returned by the competition can be easily converted to a CIF file through Biotite (https://www.biotite-python.org/latest/index.html). However, it's worth noting that the original data was provided as PDBs and I'm not sure if you still lack any information after the conversion because of that.

Having said that, here's a simple code snippet: 

```py
import polaris as po
from biotite.structure.io import save_structure 

# Load the competition
competititon = po.load_competition(""asap-discovery/antiviral-ligand-poses-2025"")

# Load a single datapoint, just to illustrate how to do the conversion. 
# Note that the type of atom_array is the Biotite AtomArray.
atom_array = competititon.get_data(row=0, col=""Complex Structure"")

# Save to CIF through Biotite
save_structure(""system.cif"", atom_array)
```",wiwnopgm#0,
"2025-02-02,15:06:45",wiwnopgm,#0,Thanks for clarification. It looks like original PDBs didn't come with the structure entities.,cwognum#0,
"2025-02-02,15:08:06",cwognum,#0,"FYI - We provide the raw data package here: https://fs.polarishub.io/2025-01-asap-discovery/raw_data_package.zip

Maybe some information got lost in the conversion to the ML-ready `AtomArray` object.",wiwnopgm#0,
"2025-02-02,15:11:26",wiwnopgm,#0,Thanks a lot. I was looking for this. I seem to come across only the sample version,cwognum#0,
"2025-02-04,21:12:56",luispintoc,#0,"Hi, can I get help in submitting the predictions?

predictions = {
    'sars': sars_df['ensemble'].to_list(),
    'mers': mers_df['ensemble'].to_list()
}

gives me a validation error but that's the syntax from the example:

predictions = {
    label: [... for x in test] 
    for label in benchmark.target_cols
}",,
"2025-02-04,22:24:29",cwognum,#0,"Hey <@821170864568533033> , you’ll need to use the precise labels. If you print the value of `competition.target_cols`, you’ll see that it’s `[“pIC50 (MERS-CoV Mpro)”, “pIC50 (SARS-CoV-2 Mpro)”]`. 

In other words, it should be: 
```py
predictions = {
    “pIC50 (SARS-CoV-2 Mpro)”: …,
    “pIC50 (MERS-CoV Mpro)”: …
}
```

Seems the error we throw in this case can be made more clear. That’s something we should improve on our end. Would you mind filing a Github issue in which you share the full stack trace and some context?",luispintoc#0,
"2025-02-05,10:28:55",lexobrien.,#0,Did anyone get any information from the drop in sessions as to what the missing values in the ADMET dataset mean? Are they outside the detection limits?  Or experiment failed randomly?  Some other reason?,,
"2025-02-05,10:32:17",cwognum,#0,"Hey Lex, good question! During a drug discovery program one typically doesn't profile all molecules in all assays. For example, companies could organize their ADMET assays in a hierarchy (or funnel), where you only profile a molecule in an assay if it showed desirable properties in all previous assays. Working with a sparse multi-task matrix is thus common.

<@1328384613554585613> <@377331431246004225> Anything you would add here?",itstreasonthen.#0、jenkescheen.#0、lexobrien.#0,
"2025-02-05,11:06:45",lexobrien.,#0,Thank you. So if a value is missing then the assay wasn't attempted at all?  Is that correct?,,
"2025-02-05,12:04:02",cwognum,#0,"That's indeed what happened in most cases. 

For completeness sake, it's worth noting that some of these missing values may also be because they were outside the detection limit, but that's a small portion. If you're curious, you can compare against the raw data package here: https://fs.polarishub.io/2025-01-asap-discovery/raw_data_package.zip",,
"2025-02-05,12:15:16",lexobrien.,#0,"OK, in which case i'm a bit confused.  are we not allowed to know the meaning of the missing values?  I've looked on the protocols (admittedly not all of them) but I can't see a reason there.  Have I missed something?",,
"2025-02-05,12:37:39",cwognum,#0,"Hi Lex, I answered your question before you edited it, so I see how my answer was confusing as well. I've updated my answer as well now. Let me know if it's more clear.",,
"2025-02-05,15:53:00",lexobrien.,#0,"Ah ok, thanks very much.",,
"2025-02-06,09:43:54",bartl88,#0,"We will evaluate your submission using MAE on the log transformed endpoints, after clipping to the strictly positive detection limit. This minimises the effect of massive outliers on the MAE. For LogD which is already in log units we will just use MAE directly.",,
"2025-02-06,09:44:30",bartl88,#0,Could the detection limits be shared?; why was the train dataset not censored in the first place? (e.g. > / <),,
"2025-02-06,09:59:34",cwognum,#0,"Hey <@1093234148212232275> , we provide the evaluation script we use here: https://github.com/asapdiscovery/asap-polaris-blind-challenge-examples/blob/main/evaulation.py

On clipping, see line 177 and 178. We're simply clipping to a small epsilon to prevent taking the log of 0.

> why was the train dataset not censored in the first place? (e.g. > / <)
Not sure what you mean? The dataset that is hosted on Polaris is what we call *ML-ready*. For this version, we only kept the datapoints with the = modifier. We also provide the raw data package for folks experienced with this data who would like to have a little more freedom and flexibility to preprocess the train dataset differently.",bartl88#0,
"2025-02-06,10:17:22",bartl88,#0,Ok <@437941389838516235> - thanks that's clear- another question- can proprietary software be used? e.g. for instance proprietary QM software to calculate properties.,cwognum#0,
"2025-02-06,11:14:56",jonnyhsu,#0,You are free to use whatever you want to participate in the challenge!,bartl88#0,
"2025-02-06,11:17:25",jenkescheen.,#0,"absolutely, we'd also love to hear what you used in those cases so (if you're able) please use the `report_url`, `description` and `user_attributes` parameters in `.submit_predictions()`! 🚀",bartl88#0,
"2025-02-07,04:15:12",wiwnopgm,#0,Hi I find the potency and pose datasets have 0% overlaps in CXSMILES. Is this expected? I hope to use ligand pose data in some property prediction pipelines.,,
"2025-02-07,04:34:35",itstreasonthen.,#0,Do you mean between the two training sets or between test / train,,
"2025-02-07,04:34:37",itstreasonthen.,#0,?,,
"2025-02-07,05:01:40",yannick_64058,#0,Hi the submission for prospective challenges is tonight or I’ve missed the deadline ?,,
"2025-02-07,05:02:47",itstreasonthen.,#0,"I think you can probably submit tonight? Valence folks can confirm, but I believe we extended to end of week friday inclusive.",,
"2025-02-07,05:04:19",itstreasonthen.,#0,"On this we tried to minimize train-test overlap as much as possible. In the case of crystal structures, many of these come from covid moonshot rather than asap itself hence low compound overlap, but do provide great assistance if you want to dock + then try measure affinities.",,
"2025-02-07,05:04:40",yannick_64058,#0,Thanks! Also wondering the test set is a temporal split compare to the train set ? Is there a split method to split the train also like that or I need to do by myself with raw data ?,,
"2025-02-07,05:06:34",itstreasonthen.,#0,"For ADME and Potency the train set is roughly a temporal split relative to the train set, but also had to take into account minimising compound leakage between train / test and also between subchallenges. If you want to create a validation set then likely a time split will be a good choice or something like SIMPD: https://splito-docs.datamol.io/stable/api/simpd.html",,
"2025-02-07,05:06:45",itstreasonthen.,#0,But that is quite advanced,,
"2025-02-07,05:07:06",itstreasonthen.,#0,To be super clear the train set comes first timewise (is older) and test set is newer,,
"2025-02-07,05:08:07",itstreasonthen.,#0,this mimics how a drug discovery project would come accross information,,
"2025-02-07,05:08:19",itstreasonthen.,#0,at least to a first approximation,,
"2025-02-07,05:11:49",yannick_64058,#0,"Yep, I’m focusing on admet one and that makes sense to me. I’ve tried to play around with lo split a bit last night, need more investigation to see how it’s affecting the performance with 🙂",,
"2025-02-07,05:12:17",itstreasonthen.,#0,"No problem, happy to answer any questions 🙂",,
"2025-02-07,06:31:42",wiwnopgm,#0,"Thanks for your response. I hope to use 3D data of the compounds in the training set in potency and ADMET predictions. I suppose one way is to use pose predictive modeling to get that first and transform those as embeddings in downstream predictions, or using dock as suggested",itstreasonthen.#0,
"2025-02-07,09:40:16",jonnyhsu,#0,🚨  The cut off to make it for the first intermediate leaderboard is midnight today in whatever timezone you're in!,,
"2025-02-07,11:38:22",bartl88,#0,"im getting a pydantic error when submitting; any idea? I want submit my df; df = pd.read_csv(""interim_submission.csv"")
print(df.head)
df_dict = {col: df[col].to_numpy() for col in df.columns}",,
"2025-02-07,11:38:33",bartl88,#0,....,,
"2025-02-07,11:38:58",bartl88,#0,"competition.submit_predictions(
    predictions=df_dict, ... )",,
"2025-02-07,11:39:11",bartl88,#0,"Error: value error, The predictions for multi-task, single test set benchmarks should be a dictionary with the target labels as keys.",,
"2025-02-07,11:40:41",bartl88,#0,(to list also does not work),,
"2025-02-07,11:42:17",aurovarat,#0,"Hi, Is it acceptable to not have a written report for the intermediate submission?",,
"2025-02-07,11:47:41",bartl88,#0,ok nvm turns out the order was wrong &/or a column name,,
"2025-02-07,11:49:11",bartl88,#0,I see a different message though; Success: Submitting competition predictions - can someone confirm this is expected - and our submission was received?,,
"2025-02-07,11:49:50",bartl88,#0,(vs ✅ SUCCESS: Your competition predictions have been successfully uploaded to the Hub for evaluation) - mentioned here https://github.com/asapdiscovery/asap-polaris-blind-challenge-examples/blob/main/01.%20Ligand%20ADMET%20and%20Potency%20(Property%20Prediction).ipynb,,
"2025-02-07,11:57:52",cwognum,#0,"Yes, that is acceptable.

However, once the deadline closes we will reach out to all participants to ask them to share a short write-up for the submission. While we recommend it, it will not be required.

The ASAP Discovery challenge prioritizes shared learning and collaboration over competition. We thus hope that the intermediate leaderboards can create an environment where participants exchange ideas and iterate.",aurovarat#0,
"2025-02-07,11:59:20",cwognum,#0,"Good call out! We changed the logging on Polaris after several users reported issue with our previous setup, so the difference is expected. We should rerun those notebooks with the latest Polaris version.

What's the Polaris username with which you submitted? Then I will confirm that all has been correctly received.",bartl88#0,
